state,year,race,pop
District of Columbia (11),2015,Not Hispanic or Latino,602819
District of Columbia (11),2016,Hispanic or Latino,74645
District of Columbia (11),2016,Not Hispanic or Latino,611170
District of Columbia (11),2017,Hispanic or Latino,76263
District of Columbia (11),2017,Not Hispanic or Latino,618643
District of Columbia (11),2018,Hispanic or Latino,77991
District of Columbia (11),2018,Not Hispanic or Latino,623556
District of Columbia (11),2019,Hispanic or Latino,79477
District of Columbia (11),2019,Not Hispanic or Latino,626272
Florida (12),1990,Hispanic or Latino,1597237
Florida (12),1990,Not Hispanic or Latino,11436070
Florida (12),1991,Hispanic or Latino,1679470
Florida (12),1991,Not Hispanic or Latino,11690328
Florida (12),1992,Hispanic or Latino,1757047
Florida (12),1992,Not Hispanic or Latino,11893506
Florida (12),1993,Hispanic or Latino,1841312
Florida (12),1993,Not Hispanic or Latino,12085873
Florida (12),1994,Hispanic or Latino,1941282
Florida (12),1994,Not Hispanic or Latino,12298162
Florida (12),1995,Hispanic or Latino,2057533
Florida (12),1995,Not Hispanic or Latino,12480342
Florida (12),1996,Hispanic or Latino,2184639
Florida (12),1996,Not Hispanic or Latino,12668721
Florida (12),1997,Hispanic or Latino,2304247
Florida (12),1997,Not Hispanic or Latino,12882057
Florida (12),1998,Hispanic or Latino,2421324
Florida (12),1998,Not Hispanic or Latino,13065235
Florida (12),1999,Hispanic or Latino,2560195
Florida (12),1999,Not Hispanic or Latino,13199226
Florida (12),2000,Hispanic or Latino,2717081
Florida (12),2000,Not Hispanic or Latino,13330434
Florida (12),2001,Hispanic or Latino,2861659
Florida (12),2001,Not Hispanic or Latino,13495307
Florida (12),2002,Hispanic or Latino,3013530
Florida (12),2002,Not Hispanic or Latino,13675840
Florida (12),2003,Hispanic or Latino,3160322
Florida (12),2003,Not Hispanic or Latino,13843763
